Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-09-24,23666.81,36680.00,-0.77,5,1.00,1.00,1.00,1.00,0.00,8.25,-3.3%
2025-09-25,23534.83,36550.00,-0.86,5,1.00,1.00,1.00,1.00,0.00,8.22,-3.6%
2025-09-26,23739.47,36750.00,-0.60,5,1.00,1.00,1.00,1.00,0.00,8.26,-3.1%
2025-09-29,23745.06,36860.00,-0.38,5,1.00,1.00,1.00,1.00,0.00,8.29,-2.8%
2025-09-30,23880.72,36985.00,-0.10,5,1.00,1.00,1.00,1.00,0.00,8.32,-2.5%
2025-10-01,24113.62,37300.00,0.33,5,1.00,1.00,1.00,1.00,0.00,8.39,-1.6%
2025-10-02,24422.56,37830.00,0.62,5,1.00,1.00,1.00,1.00,0.00,8.51,-0.2%
2025-10-03,24378.80,37717.50,0.73,5,1.00,0.70,0.70,1.00,0.00,8.48,-0.5%
2025-10-06,24378.29,37622.50,0.66,5,1.00,0.62,0.62,1.00,0.00,8.46,-0.8%
2025-10-07,24385.78,37587.50,0.68,5,1.00,1.00,1.00,1.00,0.00,8.45,-0.9%
2025-10-08,24597.13,37835.00,0.85,5,1.00,1.00,1.00,1.00,0.00,8.51,-0.2%
2025-10-09,24611.25,38030.00,0.81,5,1.00,1.00,1.00,1.00,0.00,8.55,0.0%
2025-10-10,24241.46,37500.00,0.29,5,1.00,0.45,0.45,0.45,-0.55,8.43,-1.4%
2025-10-13,24387.93,37550.00,0.43,5,1.00,0.52,0.52,0.45,0.00,8.44,-1.3%
2025-10-14,24236.94,37497.50,0.29,5,1.00,0.67,0.67,0.45,0.00,8.43,-1.4%
2025-10-15,24181.37,37330.00,0.27,5,1.00,1.00,1.00,1.00,0.55,8.41,-1.6%
2025-10-16,24272.19,37440.00,0.38,5,1.00,1.00,1.00,1.00,0.00,8.44,-1.3%
2025-10-17,23830.99,36855.00,0.28,5,1.00,0.56,0.56,0.56,-0.44,8.31,-2.8%
2025-10-20,24258.80,37460.00,0.75,3,0.22,0.33,0.07,0.07,-0.49,8.38,-2.0%
2025-10-21,24330.03,37455.00,0.89,3,0.22,0.33,0.07,0.07,0.00,8.38,-2.0%
2025-10-22,24151.13,37245.00,0.86,3,0.22,0.46,0.10,0.07,0.00,8.38,-2.0%
2025-10-23,24207.79,37450.00,0.84,3,0.22,0.99,0.22,0.07,0.00,8.38,-2.0%
2025-10-24,24239.89,37645.00,1.03,3,0.22,0.91,0.20,0.07,0.00,8.39,-1.9%
2025-10-27,24308.78,37665.00,0.95,5,1.00,1.00,1.00,1.00,0.93,8.39,-1.9%
2025-10-28,24278.63,37850.00,0.67,5,1.00,1.00,1.00,1.00,0.00,8.43,-1.4%
2025-10-29,24124.21,37725.00,0.56,5,1.00,1.00,1.00,1.00,0.00,8.40,-1.8%
2025-10-30,24118.89,37687.50,0.43,5,1.00,1.00,1.00,1.00,0.00,8.39,-1.9%
2025-10-31,23958.30,37332.50,0.05,5,1.00,1.00,1.00,1.00,0.00,8.31,-2.8%
2025-11-03,24132.41,37550.00,-0.10,5,1.00,0.73,0.73,1.00,0.00,8.36,-2.2%
2025-11-04,23949.11,37440.00,-0.33,5,1.00,0.73,0.73,1.00,0.00,8.34,-2.5%
2025-11-05,24049.74,37577.50,-0.22,5,1.00,1.00,1.00,1.00,0.00,8.37,-2.1%
2025-11-06,23734.02,37090.00,-0.45,5,1.00,0.71,0.71,1.00,0.00,8.26,-3.4%
2025-11-07,23569.96,36762.50,-0.75,5,1.00,0.83,0.83,1.00,0.00,8.19,-4.3%
2025-11-10,23959.99,37350.00,-0.46,3,0.22,0.58,0.13,0.13,-0.87,8.32,-2.7%
2025-11-11,24088.06,37655.00,-0.11,3,0.22,0.68,0.15,0.13,0.00,8.33,-2.6%
2025-11-12,24381.46,38200.00,0.31,3,0.22,1.00,0.22,0.13,0.00,8.34,-2.5%
2025-11-13,24041.62,37655.00,0.27,3,0.22,0.57,0.13,0.13,0.00,8.33,-2.6%
2025-11-14,23876.55,37420.00,-0.15,3,0.22,0.67,0.15,0.13,0.00,8.32,-2.7%
2025-11-17,23590.52,36845.00,-0.60,5,1.00,1.00,1.00,1.00,0.87,8.30,-2.9%
2025-11-18,23180.53,36235.00,-1.14,5,1.00,1.00,1.00,1.00,0.00,8.17,-4.5%
2025-11-19,23162.92,36280.00,-1.18,5,1.00,0.86,0.86,1.00,0.00,8.18,-4.4%
2025-11-20,23278.85,36450.00,-1.26,5,1.00,0.76,0.76,1.00,0.00,8.21,-3.9%
2025-11-21,23091.87,36032.50,-1.06,5,1.00,0.96,0.96,1.00,0.00,8.12,-5.0%
2025-11-24,23239.18,36285.00,-0.74,5,1.00,0.92,0.92,1.00,0.00,8.18,-4.4%
2025-11-25,23464.63,36542.50,-0.18,5,1.00,0.95,0.95,1.00,0.00,8.24,-3.7%
2025-11-26,23726.22,36865.00,0.09,5,1.00,1.00,1.00,1.00,0.00,8.31,-2.8%
