Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2026-01-29,33016.13,21015.50,,4,0.60,1.00,0.60,0.59,0.00,3.27,-1.0%
2026-01-30,31923.52,20631.00,,4,0.60,0.46,0.28,0.28,-0.31,3.23,-2.1%
2026-02-02,32183.88,20636.00,,4,0.60,0.46,0.28,0.28,0.00,3.21,-2.7%
2026-02-03,32388.60,20675.00,,4,0.60,0.43,0.26,0.28,0.00,3.21,-2.7%
2026-02-04,32571.55,20716.00,,4,0.60,1.00,0.60,0.60,0.32,3.21,-2.6%
2026-02-05,31994.60,20738.00,,4,0.60,1.00,0.60,0.60,0.00,3.21,-2.7%
2026-02-06,32470.98,20761.00,,4,0.60,1.00,0.60,0.60,0.00,3.21,-2.7%
2026-02-09,33023.32,21115.00,,4,0.60,0.50,0.30,0.60,0.00,3.24,-1.7%
2026-02-10,33256.83,21489.00,,6,1.00,0.49,0.49,0.60,0.00,3.28,-0.6%
2026-02-11,33254.19,21294.00,,6,1.00,0.30,0.30,0.60,0.00,3.26,-1.2%
2026-02-12,32465.28,21048.00,,6,1.00,0.28,0.28,0.28,-0.32,3.24,-1.8%
2026-02-13,33073.71,21226.50,,6,1.00,0.42,0.42,0.28,0.00,3.24,-1.7%
2026-02-16,33073.71,21288.00,,6,1.00,0.45,0.45,0.28,0.00,3.25,-1.6%
2026-02-17,32896.55,21271.00,,4,0.60,1.00,0.60,0.60,0.32,3.25,-1.6%
2026-02-18,33389.73,21563.00,,4,0.60,0.63,0.38,0.60,0.00,3.27,-0.9%
2026-02-19,33594.98,21752.00,,4,0.60,0.64,0.38,0.60,0.00,3.29,-0.4%
2026-02-20,33817.51,21788.50,,2,0.05,0.78,0.04,0.04,-0.56,3.29,-0.3%
2026-02-23,33776.50,21734.00,,2,0.05,0.86,0.04,0.04,0.00,3.29,-0.3%
2026-02-24,33970.38,21710.00,,4,0.60,1.00,0.60,0.60,0.56,3.29,-0.3%
2026-02-25,34127.33,21971.00,,4,0.60,0.59,0.35,0.60,0.00,3.30,-0.0%
2026-02-26,34501.96,22109.00,,4,0.60,0.74,0.44,0.60,0.00,3.31,0.0%
2026-02-27,34339.99,22237.00,,4,0.60,1.00,0.60,0.60,0.00,3.32,0.0%
2026-03-02,34541.27,22318.00,,4,0.60,1.00,0.60,0.60,0.00,3.33,0.0%
2026-03-03,33784.94,21996.50,,4,0.60,0.47,0.28,0.28,-0.32,3.30,-0.9%
2026-03-04,33942.86,22185.00,,4,0.60,0.47,0.28,0.28,0.00,3.31,-0.5%
2026-03-05,33609.97,21965.00,,4,0.60,0.48,0.29,0.28,0.00,3.30,-0.8%
2026-03-06,33083.72,21773.50,,6,1.00,0.57,0.57,0.28,0.00,3.29,-1.0%
2026-03-09,33189.32,21603.50,,6,1.00,1.00,1.00,1.00,0.72,3.29,-1.2%
2026-03-10,33270.65,21890.00,,6,1.00,0.47,0.47,0.47,-0.53,3.31,-0.5%
2026-03-11,33119.83,21684.00,,6,1.00,0.47,0.47,0.47,0.00,3.29,-1.2%
2026-03-12,32840.60,21676.00,,6,1.00,0.52,0.52,0.47,0.00,3.29,-1.2%
2026-03-13,32541.93,21552.50,,6,1.00,1.00,1.00,1.00,0.53,3.28,-1.5%
2026-03-16,32876.65,21571.00,,6,1.00,1.00,1.00,1.00,0.00,3.28,-1.4%
2026-03-17,32929.09,21699.50,,6,1.00,1.00,1.00,1.00,0.00,3.30,-0.8%
2026-03-18,32312.67,21429.00,,6,1.00,0.64,0.64,0.64,-0.36,3.26,-2.0%
2026-03-19,31854.98,20884.00,,6,1.00,0.42,0.42,0.64,0.00,3.20,-4.0%
2026-03-20,31317.41,20753.00,,5,1.00,0.68,0.68,0.64,0.00,3.18,-4.3%
2026-03-23,31883.81,20769.50,,5,1.00,0.49,0.49,0.64,0.00,3.19,-4.3%
2026-03-24,31941.59,20949.00,,3,0.35,0.89,0.31,0.31,-0.32,3.20,-3.8%
2026-03-25,32382.60,21028.50,,3,0.35,1.00,0.35,0.31,0.00,3.21,-3.5%
2026-03-26,31887.52,20946.50,,3,0.35,1.00,0.35,0.31,0.00,3.21,-3.6%
2026-03-27,31960.65,20861.50,,3,0.35,1.00,0.35,0.31,0.00,3.20,-3.7%
2026-03-30,31934.94,21172.50,,3,0.35,0.60,0.21,0.31,0.00,3.22,-3.3%
2026-03-31,32768.04,21139.50,,5,1.00,0.65,0.65,0.65,0.33,3.22,-3.3%
2026-04-01,32957.95,21472.00,,5,1.00,0.69,0.69,0.65,0.00,3.24,-2.8%
2026-04-02,33108.22,21551.00,,5,1.00,0.83,0.83,0.65,0.00,3.24,-2.6%
2026-04-07,33237.52,21607.00,,5,1.00,1.00,1.00,1.00,0.35,3.25,-2.4%
2026-04-08,33620.57,21739.00,,5,1.00,1.00,1.00,1.00,0.00,3.25,-2.4%
2026-04-09,33477.71,21773.00,,5,1.00,1.00,1.00,1.00,0.00,3.25,-2.2%
2026-04-10,33695.76,21781.00,,6,1.00,1.00,1.00,1.00,0.00,3.26,-2.2%
2026-04-13,33879.24,21848.00,,6,1.00,1.00,1.00,1.00,0.00,3.27,-1.9%
2026-04-14,34102.36,21919.00,,6,1.00,1.00,1.00,1.00,0.00,3.28,-1.5%
2026-04-15,34155.99,22069.50,,6,1.00,1.00,1.00,1.00,0.00,3.30,-0.9%
2026-04-16,34052.23,22128.00,,6,1.00,1.00,1.00,1.00,0.00,3.31,-0.6%
2026-04-17,34346.29,22264.00,,6,1.00,1.00,1.00,1.00,0.00,3.33,0.0%
2026-04-20,34360.03,22364.00,,6,1.00,1.00,1.00,1.00,0.00,3.34,0.0%
2026-04-21,33808.30,22270.00,,6,1.00,1.00,1.00,1.00,0.00,3.33,-0.4%
2026-04-22,33955.11,22187.00,,6,1.00,1.00,1.00,1.00,0.00,3.32,-0.8%
2026-04-23,33912.93,22196.00,,6,1.00,1.00,1.00,1.00,0.00,3.32,-0.8%
2026-04-24,33904.11,22097.00,,6,1.00,1.00,1.00,1.00,0.00,3.30,-1.2%
2026-04-27,33818.19,22082.00,,6,1.00,1.00,1.00,1.00,0.00,3.30,-1.3%
2026-04-28,33584.30,21992.00,,6,1.00,1.00,1.00,1.00,0.00,3.29,-1.7%
2026-04-29,33318.40,21844.00,,6,1.00,1.00,1.00,1.00,0.00,3.27,-2.3%
2026-04-30,33964.30,22056.00,,6,1.00,0.69,0.69,0.69,-0.31,3.30,-1.4%
2026-05-01,33891.20,22219.00,,4,0.60,0.68,0.41,0.69,0.00,3.33,-0.5%
2026-05-05,33566.90,22050.00,,4,0.60,0.64,0.39,0.69,0.00,3.31,-1.0%
2026-05-06,33981.80,22126.00,,4,0.60,0.78,0.47,0.69,0.00,3.32,-0.8%
2026-05-07,33856.60,22102.50,,4,0.60,1.00,0.60,0.69,0.00,3.31,-0.9%
2026-05-08,34077.80,22019.00,,6,1.00,1.00,1.00,1.00,0.31,3.31,-1.1%
2026-05-11,34138.90,22074.00,,6,1.00,1.00,1.00,1.00,0.00,3.31,-0.9%
