Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2026-01-21,10138.09,987.60,0.14,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-22,10150.05,988.50,0.26,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-23,10143.44,988.10,0.05,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-26,10148.85,988.60,0.08,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-27,10207.80,994.30,0.14,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-28,10154.43,989.00,0.18,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-29,10171.76,990.90,-0.00,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-01-30,10223.54,996.60,0.03,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-02-02,10341.56,1008.00,0.33,2,0.00,0.75,0.00,0.00,0.00,11.19,0.0%
2026-02-03,10314.59,1004.60,0.33,2,0.00,0.67,0.00,0.00,0.00,11.19,0.0%
2026-02-04,10402.34,1013.40,0.50,2,0.00,0.80,0.00,0.00,0.00,11.19,0.0%
2026-02-05,10309.22,1004.20,0.26,2,0.00,0.56,0.00,0.00,0.00,11.19,0.0%
2026-02-06,10369.75,1010.20,0.36,2,0.00,0.56,0.00,0.00,0.00,11.19,0.0%
2026-02-09,10386.23,1012.20,0.35,2,0.00,0.68,0.00,0.00,0.00,11.19,0.0%
2026-02-10,10353.84,1009.40,0.48,2,0.00,0.70,0.00,0.00,0.00,11.19,0.0%
2026-02-11,10472.11,1020.40,0.56,2,0.00,0.65,0.00,0.00,0.00,11.19,0.0%
2026-02-12,10402.44,1013.60,0.50,2,0.00,0.73,0.00,0.00,0.00,11.19,0.0%
2026-02-13,10446.35,1018.20,0.47,2,0.00,0.76,0.00,0.00,0.00,11.19,0.0%
2026-02-16,10473.69,1020.40,0.39,2,0.00,0.78,0.00,0.00,0.00,11.19,0.0%
2026-02-17,10556.17,1028.20,0.65,2,0.00,0.79,0.00,0.00,0.00,11.19,0.0%
2026-02-18,10686.18,1042.20,0.91,2,0.00,0.72,0.00,0.00,0.00,11.19,0.0%
2026-02-19,10627.04,1039.00,0.71,2,0.00,0.86,0.00,0.00,0.00,11.19,0.0%
2026-02-20,10686.89,1045.00,0.91,2,0.00,0.84,0.00,0.00,0.00,11.19,0.0%
2026-02-23,10684.74,1044.60,0.70,2,0.00,0.79,0.00,0.00,0.00,11.19,0.0%
2026-02-24,10680.59,1044.00,0.63,2,0.00,0.76,0.00,0.00,0.00,11.19,0.0%
2026-02-25,10806.41,1056.00,0.75,2,0.00,0.86,0.00,0.00,0.00,11.19,0.0%
2026-02-26,10846.70,1061.00,0.89,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-02-27,10910.55,1067.60,0.93,2,0.00,0.94,0.00,0.00,0.00,11.19,0.0%
2026-03-02,10780.11,1053.40,0.46,2,0.00,0.54,0.00,0.00,0.00,11.19,0.0%
2026-03-03,10484.13,1025.00,-0.22,2,0.00,0.37,0.00,0.00,0.00,11.19,0.0%
2026-03-04,10567.65,1033.40,-0.17,2,0.00,0.39,0.00,0.00,0.00,11.19,0.0%
2026-03-05,10413.94,1018.60,-0.52,0,0.00,0.42,0.00,0.00,0.00,11.19,0.0%
2026-03-06,10284.75,1006.60,-1.00,0,0.00,0.52,0.00,0.00,0.00,11.19,0.0%
2026-03-09,10249.52,1003.00,-1.39,0,0.00,0.52,0.00,0.00,0.00,11.19,0.0%
2026-03-10,10412.24,1019.40,-1.08,0,0.00,0.56,0.00,0.00,0.00,11.19,0.0%
2026-03-11,10353.77,1013.20,-1.35,0,0.00,0.63,0.00,0.00,0.00,11.19,0.0%
2026-03-12,10305.15,1010.80,-1.43,0,0.00,0.73,0.00,0.00,0.00,11.19,0.0%
2026-03-13,10261.15,1005.80,-1.49,2,0.00,0.84,0.00,0.00,0.00,11.19,0.0%
2026-03-16,10317.69,1011.20,-1.29,2,0.00,0.86,0.00,0.00,0.00,11.19,0.0%
2026-03-17,10403.60,1020.20,-0.85,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-03-18,10305.29,1011.00,-0.95,2,0.00,1.00,0.00,0.00,0.00,11.19,0.0%
2026-03-19,10063.50,983.10,-1.47,4,0.92,0.65,0.60,0.60,0.60,11.19,0.0%
2026-03-20,9918.33,968.80,-1.90,5,1.00,0.65,0.65,0.60,0.00,11.09,-0.9%
2026-03-23,9894.15,968.70,-1.93,5,1.00,0.69,0.69,0.60,0.00,11.09,-0.9%
2026-03-24,9965.16,973.60,-1.76,5,1.00,0.76,0.76,0.60,0.00,11.13,-0.6%
2026-03-25,10106.84,987.90,-1.27,5,1.00,0.60,0.60,0.60,0.00,11.22,0.0%
2026-03-26,9972.17,975.50,-1.41,5,1.00,0.83,0.83,0.60,0.00,11.14,-0.7%
2026-03-27,9967.35,975.40,-1.57,5,1.00,1.00,1.00,1.00,0.40,11.14,-0.8%
2026-03-30,10127.96,990.50,-1.20,5,1.00,0.87,0.87,1.00,0.00,11.31,0.0%
2026-03-31,10176.45,995.70,-0.79,5,1.00,0.87,0.87,1.00,0.00,11.37,0.0%
2026-04-01,10364.79,1015.20,-0.24,5,1.00,0.82,0.82,1.00,0.00,11.59,0.0%
2026-04-02,10436.29,1021.60,0.12,5,1.00,1.00,1.00,1.00,0.00,11.67,0.0%
2026-04-07,10348.79,1013.40,-0.08,5,1.00,0.98,0.98,1.00,0.00,11.57,-0.8%
2026-04-08,10608.88,1038.80,0.41,5,1.00,0.86,0.86,1.00,0.00,11.86,0.0%
2026-04-09,10603.48,1039.00,0.50,5,1.00,0.83,0.83,1.00,0.00,11.87,0.0%
2026-04-10,10600.53,1039.00,0.60,4,0.92,0.91,0.84,1.00,0.00,11.87,0.0%
2026-04-13,10582.96,1036.80,0.40,4,0.92,0.89,0.82,1.00,0.00,11.84,-0.2%
2026-04-14,10609.06,1040.40,0.61,4,0.92,1.00,0.92,1.00,0.00,11.88,0.0%
