Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2025-10-29,8200.89,7304.00,0.19,5,1.00,1.00,1.00,1.00,0.00,2.57,0.0%
2025-10-30,8157.30,7252.00,-0.04,5,1.00,1.00,1.00,1.00,0.00,2.55,-0.7%
2025-10-31,8121.08,7211.50,-0.25,5,1.00,1.00,1.00,1.00,0.00,2.54,-1.3%
2025-11-03,8109.80,7189.00,-0.40,5,1.00,1.00,1.00,1.00,0.00,2.53,-1.6%
2025-11-04,8067.54,7183.00,-0.66,5,1.00,1.00,1.00,1.00,0.00,2.53,-1.7%
2025-11-05,8074.24,7194.00,-0.67,5,1.00,1.00,1.00,1.00,0.00,2.53,-1.5%
2025-11-06,7964.78,7088.50,-0.90,5,1.00,0.73,0.73,1.00,0.00,2.49,-3.0%
2025-11-07,7950.19,7064.00,-0.93,5,1.00,0.77,0.77,1.00,0.00,2.48,-3.3%
2025-11-10,8055.52,7162.00,-0.51,3,0.18,0.45,0.08,0.08,-0.92,2.52,-1.9%
2025-11-11,8156.24,7265.00,-0.04,3,0.18,0.65,0.12,0.08,0.00,2.52,-1.8%
2025-11-12,8241.25,7362.50,0.41,3,0.18,1.00,0.18,0.08,0.00,2.52,-1.7%
2025-11-13,8232.50,7348.00,0.61,3,0.18,0.72,0.13,0.08,0.00,2.52,-1.7%
2025-11-14,8170.10,7289.50,0.19,3,0.18,0.51,0.09,0.08,0.00,2.52,-1.8%
2025-11-17,8119.03,7234.00,-0.16,3,0.18,1.00,0.18,0.08,0.00,2.52,-1.9%
2025-11-18,7967.92,7097.50,-0.75,3,0.18,0.91,0.16,0.08,0.00,2.52,-2.0%
2025-11-19,7953.78,7114.00,-1.01,3,0.18,0.57,0.10,0.08,0.00,2.52,-2.0%
2025-11-20,7981.07,7114.00,-1.15,3,0.18,0.54,0.10,0.08,0.00,2.52,-2.0%
2025-11-21,7982.66,7091.00,-0.95,3,0.18,1.00,0.18,0.08,0.00,2.52,-2.0%
2025-11-24,7959.68,7108.00,-0.89,5,1.00,1.00,1.00,1.00,0.92,2.52,-2.0%
2025-11-25,8025.81,7124.00,-0.41,5,1.00,1.00,1.00,1.00,0.00,2.52,-1.8%
2025-11-26,8096.44,7174.50,-0.03,5,1.00,1.00,1.00,1.00,0.00,2.54,-1.1%
2025-11-27,8099.48,7172.00,0.17,5,1.00,1.00,1.00,1.00,0.00,2.54,-1.1%
2025-11-28,8122.72,7195.00,0.34,5,1.00,1.00,1.00,1.00,0.00,2.55,-0.8%
2025-12-01,8097.01,7212.50,0.41,5,1.00,1.00,1.00,1.00,0.00,2.55,-0.6%
2025-12-02,8074.62,7191.50,0.28,5,1.00,1.00,1.00,1.00,0.00,2.55,-0.8%
2025-12-03,8087.43,7150.00,0.10,5,1.00,1.00,1.00,1.00,0.00,2.53,-1.4%
2025-12-04,8122.04,7184.50,0.16,5,1.00,1.00,1.00,1.00,0.00,2.54,-0.9%
2025-12-05,8114.74,7177.00,0.08,5,1.00,1.00,1.00,1.00,0.00,2.54,-1.0%
2025-12-08,8108.44,7157.50,-0.00,5,1.00,1.00,1.00,1.00,0.00,2.54,-1.3%
2025-12-09,8052.52,6931.50,-0.18,5,1.00,0.36,0.36,0.36,-0.64,2.46,-4.4%
2025-12-10,8022.70,6886.00,-0.36,5,1.00,0.39,0.39,0.36,0.00,2.45,-4.7%
2025-12-11,8085.77,6964.50,-0.14,5,1.00,0.29,0.29,0.36,0.00,2.46,-4.3%
2025-12-12,8068.62,6987.00,-0.07,5,1.00,0.69,0.69,0.36,0.00,2.46,-4.2%
2025-12-15,8124.89,7039.00,0.39,5,1.00,1.00,1.00,1.00,0.64,2.47,-3.9%
2025-12-16,8106.17,7002.50,0.50,5,1.00,0.95,0.95,1.00,0.00,2.46,-4.4%
2025-12-17,8086.06,6983.00,0.47,5,1.00,0.91,0.91,1.00,0.00,2.45,-4.7%
2025-12-18,8150.65,7038.00,0.72,5,1.00,0.88,0.88,1.00,0.00,2.47,-3.9%
